Province,2016,2017,2018,2019,2020,2021
Aceh,6013,7232,8593,8545,7226,6268
Bangka Belitung,1545,2139,2303,2131,1753,1203
Bali,3129,3566,3805,4206,3007,2524
Banten,14841,17234,33325,32148,22651,18292
Bengkulu,1829,2477,3533,3281,1825,1375
DI Yogyakarta,3076,3530,3778,4150,3459,2525
DKI Jakarta,27810,38186,40212,42066,27389,23288
Gorontalo,1672,1935,4063,4020,2409,2754
Jawa Barat,72256,85359,129197,133667,90245,70369
Jambi,3496,3927,4364,4850,3585,3131
Jawa Tengah,36939,52052,60794,59408,43116,34194
Jawa Timur,49589,55284,66052,66912,46640,35191
Kalimantan Barat,5174,5963,7343,9529,7140,5346
Kalimantan Selatan,5847,7609,8635,7558,3765,3208
Kalimantan Utara,1223,1741,1563,1788,1025,823
Kalimantan Tengah,2930,3433,3776,3848,2577,2234
Kalimantan Timur,5029,6207,6407,7737,5339,4281
Kepulauan Riau,3824,4486,6555,5575,3965,3303
Lampung,9469,10217,16394,16123,11970,7110
Maluku,3959,4592,4432,4377,2275,2333
Maluku Utara,1813,2194,2082,2222,1596,1446
NTB,5997,6784,6776,7272,5751,4786
NTT,6359,7080,7361,7595,5866,4387
Papua,9227,11812,11511,11763,9318,7446
Papua Barat,2082,2094,2316,2967,1699,1783
Riau,6167,10263,12598,11002,9301,7058
Sulawesi Barat,1674,1996,2141,2736,1966,1836
Sulawesi Selatan,13482,17293,26001,20418,14060,13573
Sulawesi Tengah,3884,5181,6108,5822,4358,3349
Sulawesi Tenggara,3901,3931,4503,4524,3517,2915
Sulawesi Utara,5406,7215,6565,7852,5198,4571
Sumatera Barat,7482,9341,11344,11463,6475,7060
Sumatera Selatan,10344,15129,22171,20649,10698,10997
Sumatera Utara,23097,26222,33688,30783,22159,18105
