Province,2016,2017,2018,2019,2020,2021
Aceh,2548,3806,4668,4822,4343,771
Bangka Belitung,642,841,1094,998,919,103
Bali,1446,1733,1824,2061,1455,281
Banten,6281,7967,19561,17513,14280,1963
Bengkulu,775,866,1323,1471,1001,140
DI Yogyakarta,1482,1836,1984,2256,1713,245
DKI Jakarta,12500,21189,21580,23577,12799,1643
Gorontalo,670,287,890,1351,1203,299
Jawa Barat,36259,44177,61550,69093,46432,8506
Jambi,943,1110,1261,1396,1434,317
Jawa Tengah,17063,22707,31589,28355,24476,3990
Jawa Timur,23518,25124,30538,32758,25786,3950
Kalimantan Barat,1748,1855,3165,3007,2859,447
Kalimantan Selatan,2506,3300,4201,4124,1969,315
Kalimantan Utara,477,639,759,635,498,56
Kalimantan Tengah,1224,1375,1609,1430,1360,176
Kalimantan Timur,2637,2928,3543,4934,2798,440
Kepulauan Riau,1905,2357,3747,2663,2539,374
Lampung,3119,3720,5831,6440,6669,984
Maluku,1755,2091,1540,1488,1061,161
Maluku Utara,636,628,1100,1072,828,169
NTB,2389,2344,2458,2444,2335,396
NTT,2524,2454,3948,4471,3270,409
Papua,3798,5350,5721,5095,4278,723
Papua Barat,1129,499,805,1393,906,264
Riau,2332,4274,6656,6260,6329,1806
Sulawesi Barat,665,650,735,1026,1238,242
Sulawesi Selatan,5715,8303,12908,8776,6839,1540
Sulawesi Tengah,1411,2221,2973,2754,2910,570
Sulawesi Tenggara,1090,957,1397,1462,1398,294
Sulawesi Utara,1591,1312,1910,2146,2223,251
Sumatera Barat,2807,3602,5421,5181,2503,385
Sumatera Selatan,4376,8333,11761,11694,6622,1125
Sumatera Utara,9081,11889,16060,16820,14006,2795
